Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
2007,1550044575,R. Skjonsby,Ryan Skjonsby,Skjonsby,Ryan,1B,Washington State University,WSU,4505,Washington State,BBC,L,R,0.319,27.1195,-0.1,51,904,219,177,0.243,0.361,0.339,0.7,0.096,18.3%,11.4%,1.6,1.4%,0.71,59.00,0.286,70.0%,0.319,0.0%,0.12383333333333332,10.972800287406525
2010,1100576512,B. Carter,Bristol Carter,Carter,Bristol,CF,Auburn University,AUB,5466,Auburn,BBC,R,R,0.299,18.218333333333327,-2.9,48,593,170,140,0.243,0.331,0.336,0.667,0.093,14.7%,8.8%,1.67,1.2%,0.48,70.00,0.276,70.7%,0.299,81.3%,0.10716666666666663,9.312580034921968
2010,1239328512,W. Gasparino,Will Gasparino,Gasparino,Will,CF,University of Texas,TEX,245,Texas,BBC,R,R,0.362,38.958666666666666,8.2,58,979,244,210,0.243,0.34,0.514,0.854,0.271,25.8%,11.9%,2.17,5.3%,0.76,16.15,0.272,68.4%,0.362,100.0%,0.15966666666666665,14.379118125568063
2010,1104780104,N. Voss,Nate Voss,Voss,Nate,C,Penn State University,PSU,5326,Penn State,BBC,R,R,0.354,25.703999999999994,4.6,43,584,168,140,0.243,0.337,0.493,0.83,0.25,23.2%,7.7%,3.0,4.8%,0.51,17.50,0.268,71.1%,0.354,66.7%,0.15299999999999997,13.756557625958383
2013,1264004096,T. OConnor,Tommy OConnor,OConnor,Tommy,1B,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,0.357,32.965999999999994,6.2,50,896,212,173,0.243,0.363,0.457,0.82,0.214,31.1%,13.7%,2.28,3.3%,0.66,24.71,0.337,65.4%,0.357,100.0%,0.15549999999999997,13.942990689749934
2014,1298969344,J. Berger,Jake Berger,Berger,Jake,2B,Duke University,DUKE,730336256,Duke,BBC,L,R,0.371,45.302166666666665,11.2,62,1117,271,206,0.243,0.404,0.432,0.836,0.189,14.0%,18.5%,0.76,3.0%,0.76,25.75,0.255,72.7%,0.371,100.0%,0.16716666666666666,15.151303716276427
2014,1662227278,D. Turgeon,Dante Turgeon,Turgeon,Dante,LF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,0.355,18.921499999999995,3.5,39,435,123,103,0.243,0.361,0.447,0.807,0.204,18.7%,14.6%,1.28,4.1%,0.46,20.60,0.267,70.7%,0.355,100.0%,0.1538333333333333,13.863990843147695
2016,1327330048,J. Bessette,Jackson Bessette,Bessette,Jackson,C,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,0.386,39.16733333333333,11.5,49,869,218,169,0.243,0.403,0.485,0.888,0.243,21.1%,15.6%,1.35,4.1%,0.8,18.78,0.278,69.6%,0.386,100.0%,0.17966666666666667,16.29369174566131
2017,1084213760,C. Tollett,Cason Tollett,Tollett,Cason,1B,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,0.262,13.816333333333331,-8.4,45,599,181,165,0.242,0.291,0.291,0.581,0.048,16.6%,5.5%,3.0,1.1%,0.42,82.50,0.281,69.6%,0.262,-,0.07633333333333332,6.377578409962591
2017,1125364736,N. Dolan,Nick Dolan,Dolan,Nick,3B,Ohio University,OHIO,730298368,Ohio,BBC,R,R,0.345,28.954499999999992,3.9,44,714,199,165,0.242,0.351,0.43,0.781,0.188,20.1%,11.1%,1.82,4.5%,0.66,18.33,0.265,70.9%,0.345,83.3%,0.14549999999999996,12.978261382838019
2017,1220401408,W. MacLean,Will MacLean,MacLean,Will,1B,Creighton University,CREI,730243840,Creighton,BBC,L,L,0.358,38.145333333333326,7.4,56,942,244,198,0.242,0.377,0.429,0.806,0.187,19.7%,10.2%,1.92,3.7%,0.79,22.00,0.273,71.3%,0.358,66.7%,0.1563333333333333,14.051249273109045
2017,1184443392,G. Dill,Garrett Dill,Dill,Garrett,1B,The Citadel,CIT,730366720,The Citadel,BBC,R,R,0.303,21.215999999999994,-2.6,48,697,192,165,0.242,0.33,0.339,0.669,0.097,26.0%,6.3%,4.17,1.0%,0.44,82.50,0.333,63.2%,0.303,92.9%,0.11049999999999997,9.664295721196476
2017,1272023040,J. Stallcup,John Stallcup,Stallcup,John,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,0.298,15.949999999999996,-2.7,40,558,150,132,0.242,0.308,0.364,0.672,0.121,20.7%,6.7%,3.1,1.3%,0.6,66.00,0.3,70.0%,0.298,0.0%,0.10633333333333331,9.218462387863143
2017,1243322112,B. Madliak,Bear Madliak,Madliak,Bear,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,0.355,31.997333333333327,5.8,54,878,208,165,0.242,0.369,0.442,0.811,0.2,22.6%,14.4%,1.57,3.8%,0.56,20.63,0.278,68.7%,0.355,0.0%,0.1538333333333333,13.806923926324682
2017,1829737588,J. Blalock,Jayce Blalock,Blalock,Jayce,LF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,0.341,22.178,2.6,46,597,156,132,0.242,0.359,0.402,0.76,0.159,23.1%,11.5%,2.0,3.8%,0.43,22.00,0.289,70.0%,0.341,100.0%,0.14216666666666666,12.68512905452981
2024,1616456315,O. Wilson,Owen Wilson,Wilson,Owen,SS,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,0.284,17.60799999999999,-5.4,45,721,186,161,0.242,0.328,0.286,0.614,0.043,23.7%,9.1%,2.59,0.5%,0.6,161.00,0.325,65.8%,0.284,100.0%,0.09466666666666661,8.115236581411532
2025,1718460975,K. Ray,Keaton Ray,Ray,Keaton,LF,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,L,L,0.314,22.85633333333333,-1.0,48,717,191,157,0.242,0.358,0.325,0.683,0.083,18.8%,12.0%,1.57,0.5%,0.54,157.00,0.301,69.9%,0.314,66.7%,0.11966666666666664,10.49490217843906
2026,1342167366,J. Sheffield,Jeremy Sheffield,Sheffield,Jeremy,3B,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,0.33,29.925,1.8,54,846,225,186,0.242,0.369,0.36,0.729,0.118,25.8%,15.6%,1.66,1.8%,0.72,46.50,0.328,65.6%,0.33,61.5%,0.133,11.818462387863145
2027,1654773551,Z. Donahue,Zach Donahue,Donahue,Zach,SS,Marist College,MRST,730374656,Marist,BBC,S,R,0.291,24.11999999999999,-5.5,53,787,240,215,0.242,0.3,0.363,0.662,0.121,12.5%,6.3%,2.0,1.3%,0.6,71.67,0.265,71.4%,0.291,100.0%,0.10049999999999996,8.726795721196478
2028,1143041024,V. Fattore,Vincent Fattore,Fattore,Vincent,RF,Elon University,ELON,730252544,Elon,BBC,R,R,0.333,26.558000000000003,2.0,51,728,196,153,0.242,0.388,0.327,0.715,0.085,20.4%,13.8%,1.48,1.0%,0.53,76.50,0.304,67.0%,0.333,100.0%,0.1355,12.03887055112845
2029,1342170651,B. Rudisill,Bryce Rudisill,Rudisill,Bryce,1B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,0.366,36.675,8.3,49,774,225,182,0.242,0.382,0.44,0.822,0.198,16.0%,11.6%,1.38,4.0%,0.78,20.22,0.254,73.2%,0.366,63.6%,0.16299999999999998,14.707351276752034
2030,1250235392,A. Benes,Adam Benes,Benes,Adam,1B,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,0.327,18.27,0.8,40,508,140,120,0.242,0.324,0.425,0.749,0.183,21.4%,8.6%,2.5,3.6%,0.35,24.00,0.279,72.1%,0.327,33.3%,0.1305,11.589890959291717
2031,1252632576,M. Handron,Max Handron,Handron,Max,3B,University of California,CAL,730152448,California,BBC,L,R,0.356,27.066666666666663,5.0,47,686,175,149,0.242,0.345,0.477,0.821,0.235,24.0%,12.0%,2.0,5.1%,0.51,16.56,0.273,70.7%,0.356,-,0.15466666666666665,13.875605245006001
2032,1730471649,A. Schnarrs,Ayden Schnarrs,Schnarrs,Ayden,3B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,0.353,30.128999999999994,5.2,48,770,198,145,0.241,0.418,0.324,0.742,0.083,14.6%,13.1%,1.12,1.0%,0.69,72.50,0.289,66.7%,0.353,80.0%,0.15216666666666664,13.644725014125768
2033,1099810304,W. Peifer,Wyatt Peifer,Peifer,Wyatt,3B,James Madison University,JMU,730340096,James Madison,BBC,S,R,0.304,26.60866666666666,-3.0,55,860,239,199,0.241,0.313,0.382,0.695,0.141,18.8%,7.5%,2.5,2.5%,0.56,33.17,0.271,71.6%,0.304,100.0%,0.11133333333333331,9.76323226234013
2033,1207756288,B. Buzzeo,Blake Buzzeo,Buzzeo,Blake,2B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,0.301,26.772999999999993,-3.7,58,870,246,199,0.241,0.346,0.317,0.662,0.075,18.3%,12.2%,1.5,0.8%,0.62,99.50,0.291,69.6%,0.301,90.0%,0.10883333333333331,9.514397347212737
2035,1105515264,T. Brooks,Ty Brooks,Brooks,Ty,SS,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,0.318,21.156,-0.2,46,658,172,141,0.241,0.333,0.383,0.716,0.142,19.8%,10.5%,1.89,2.3%,0.46,35.25,0.288,70.2%,0.318,-,0.123,10.902183318095702
2035,1133589199,E. Hammill,Elijha Hammill,Hammill,Elijha,CF,Niagara University,NIAG,730156544,Niagara,BBC,S,R,0.342,25.454000000000004,3.1,39,670,178,141,0.241,0.39,0.355,0.744,0.113,15.2%,18.0%,0.84,1.1%,0.72,70.50,0.283,69.9%,0.342,93.3%,0.14300000000000002,12.76003542157101
2037,1297003776,J. Woodall,JD Woodall,Woodall,JD,LF,Davidson College,DAV,730363136,Davidson,BBC,R,R,0.339,20.513,2.2,44,664,146,112,0.241,0.401,0.313,0.714,0.071,34.9%,13.0%,2.68,0.7%,0.66,112.00,0.433,56.7%,0.339,100.0%,0.1405,12.525311702931635
2038,1100625920,C. Hentz,Cade Hentz,Hentz,Cade,3B,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,0.27,15.271999999999998,-7.4,50,638,184,166,0.241,0.294,0.307,0.602,0.066,15.8%,5.4%,2.9,0.0%,0.48,-,0.29,68.1%,0.27,100.0%,0.08299999999999999,6.996723257428362
2038,1342167035,B. Stang,Bobby Stang,Stang,Bobby,C,University of Dayton,DAY,730194688,Dayton,BBC,R,R,0.345,28.954499999999992,3.9,48,766,199,166,0.241,0.357,0.422,0.778,0.181,20.6%,12.1%,1.71,4.0%,0.67,20.75,0.269,70.6%,0.345,75.0%,0.14549999999999996,12.978261382838019
2040,1204862208,M. Stellrecht,Mike Stellrecht,Stellrecht,Mike,SS,Binghamton University,BING,730155776,Binghamton,BBC,S,R,0.301,24.92283333333333,-3.5,55,888,229,191,0.241,0.338,0.319,0.657,0.079,22.7%,9.2%,2.48,0.4%,0.36,191.00,0.321,66.4%,0.301,50.0%,0.10883333333333332,9.490078108387161
2040,1172379330,E. Fender,Ethan Fender,Fender,Ethan,1B,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,0.299,22.826499999999992,-3.7,53,717,213,191,0.241,0.3,0.382,0.683,0.141,19.7%,7.0%,2.8,3.3%,0.53,27.29,0.267,71.9%,0.299,-,0.10716666666666663,9.28137318598521
2042,1260750336,G. Swansen,Gabe Swansen,Swansen,Gabe,LF,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,0.332,25.048,1.8,52,695,186,162,0.241,0.317,0.457,0.774,0.216,22.6%,7.5%,3.0,3.8%,0.5,23.14,0.274,70.1%,0.332,100.0%,0.13466666666666666,11.986204323347014
2042,1989400191,J. Hotchkiss,Jackson Hotchkiss,Hotchkiss,Jackson,RF,University of Washington,WASH,3110,Washington,BBC,R,R,0.352,30.115333333333325,5.0,51,810,199,162,0.241,0.372,0.42,0.792,0.179,23.6%,15.6%,1.52,3.0%,0.65,27.00,0.297,65.8%,0.352,69.2%,0.1513333333333333,13.531025201933494
2044,1189441024,M. Burroughs,Michael Burroughs,Burroughs,Michael,LF,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,0.329,21.67533333333333,1.2,43,490,164,133,0.241,0.365,0.361,0.726,0.12,11.6%,11.0%,1.06,1.2%,0.4,66.50,0.268,71.4%,0.329,100.0%,0.13216666666666665,11.750169704936315
2045,1080116854,J. Lewis,Jordan Lewis,Lewis,Jordan,LF,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,0.327,29.6235,1.3,53,899,227,183,0.24,0.373,0.333,0.707,0.093,22.9%,11.5%,2.0,1.3%,0.74,61.00,0.315,65.4%,0.327,73.3%,0.1305,11.59114961253275
2046,1260855296,G. Bozzo,Gregory Bozzo,Bozzo,Gregory,C,Northeastern University,NE,343,Northeastern,BBC,R,R,0.276,15.84,-6.3,47,563,180,154,0.24,0.316,0.286,0.602,0.045,12.8%,8.3%,1.53,0.6%,0.68,154.00,0.273,70.5%,0.276,75.0%,0.088,7.518462387863144
2046,1403617065,A. Kearns,Aubrey Kearns,Kearns,Aubrey,2B,Morehead State University,MORE,730158080,Morehead State,BBC,L,R,0.32,21.816666666666663,0.0,41,631,175,154,0.24,0.318,0.416,0.734,0.175,23.4%,9.7%,2.41,3.4%,0.61,25.67,0.287,70.4%,0.32,-,0.12466666666666665,11.018462387863144
2048,1254273792,T. Hansen,Trevor Hansen,Hansen,Trevor,3B,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,0.313,23.172499999999996,-1.1,47,646,195,179,0.24,0.297,0.43,0.728,0.19,27.7%,6.2%,4.5,3.6%,0.62,25.57,0.303,61.3%,0.313,83.3%,0.11883333333333332,10.45435982376058
2049,1079641856,Z. Fjelstad,Zach Fjelstad,Fjelstad,Zach,3B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,0.347,27.078666666666663,3.9,47,730,184,150,0.24,0.363,0.42,0.783,0.18,26.1%,10.9%,2.4,2.7%,0.68,30.00,0.313,67.7%,0.347,50.0%,0.14716666666666664,13.138027605254448
2049,1141017344,A. Rivera,Angel Rivera,Rivera,Angel,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,0.321,19.076,0.1,42,436,152,125,0.24,0.342,0.384,0.726,0.144,21.7%,8.6%,2.54,1.3%,0.5,62.50,0.295,68.4%,0.321,100.0%,0.1255,11.084251861547354
2049,1280063232,R. Willbanks,Reed Willbanks,Willbanks,Reed,CF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,0.296,22.189333333333327,-4.0,59,837,212,175,0.24,0.34,0.303,0.643,0.063,22.6%,9.9%,2.29,0.9%,0.56,87.50,0.313,64.1%,0.296,71.4%,0.10466666666666663,9.131669935032956
2049,1631460682,C. Robson,Colin Robson,Robson,Colin,CF,Rice University,RICE,2352,Rice,BBC,L,R,0.295,15.67883333333333,-3.0,43,535,151,125,0.24,0.345,0.288,0.633,0.048,21.9%,11.9%,1.83,0.7%,0.53,125.00,0.319,65.9%,0.295,87.5%,0.1038333333333333,9.031707420975728
2053,1310619904,C. Priest,Collin Priest,Priest,Collin,1B,Clemson University,CLEM,730358784,Clemson,BBC,L,R,0.386,46.354,13.6,59,1048,258,196,0.24,0.407,0.48,0.887,0.24,23.6%,18.2%,1.3,4.7%,0.61,16.33,0.276,70.9%,0.386,-,0.17966666666666667,16.28978021732051
2054,1421562378,S. Beck,Sam Beck,Beck,Sam,SS,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,0.294,14.831999999999995,-3.0,42,554,144,121,0.24,0.347,0.281,0.628,0.041,18.8%,11.1%,1.69,0.0%,0.4,-,0.302,65.6%,0.294,33.3%,0.10299999999999997,8.93512905452981
2054,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,0.408,29.303999999999995,10.4,44,640,148,121,0.24,0.365,0.612,0.976,0.372,29.7%,12.8%,2.32,9.5%,0.61,8.64,0.231,76.9%,0.408,100.0%,0.19799999999999995,18.04548941489017
2056,1892466609,C. Crowley,Colin Crowley,Crowley,Colin,3B,Winthrop University,WIN,730294784,Winthrop,BBC,L,R,0.325,27.699166666666667,0.8,55,830,215,167,0.24,0.384,0.305,0.689,0.066,16.3%,13.0%,1.25,0.5%,0.71,167.00,0.291,67.2%,0.325,72.7%,0.12883333333333333,11.390555411118958
2057,1201266176,D. Howard,Drew Howard,Howard,Drew,3B,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,0.284,15.335999999999993,-4.6,51,593,162,142,0.239,0.327,0.289,0.616,0.049,22.2%,8.0%,2.77,0.0%,0.55,-,0.318,67.3%,0.284,100.0%,0.09466666666666662,8.178956215023637
2058,1138590720,E. Cloyd,Evan Cloyd,Cloyd,Evan,1B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,0.371,40.95583333333333,10.0,54,860,245,188,0.239,0.408,0.404,0.812,0.165,18.0%,9.0%,2.0,2.9%,0.59,26.86,0.273,71.9%,0.371,25.0%,0.16716666666666666,15.100095040924366
2058,1212036192,D. Johnson,Drew Johnson,Johnson,Drew,LF,Mercer University,MER,730240512,Mercer,BBC,L,R,0.334,32.311,2.7,59,914,237,188,0.239,0.368,0.367,0.735,0.128,19.4%,13.5%,1.44,1.7%,0.61,47.00,0.295,69.1%,0.334,100.0%,0.13633333333333333,12.157702894192258
2060,1303740160,J. Flores,Jalin Flores,Flores,Jalin,SS,University of Texas,TEX,245,Texas,BBC,R,R,0.342,38.324000000000005,4.8,58,1036,268,234,0.239,0.317,0.491,0.809,0.252,22.0%,8.6%,2.57,4.9%,0.83,18.00,0.257,71.9%,0.342,66.7%,0.14300000000000002,12.809507163982548
2060,1130957433,J. Sosa,Jeremy Sosa,Sosa,Jeremy,LF,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,0.302,14.804999999999996,-2.0,36,460,135,117,0.239,0.328,0.342,0.67,0.103,25.9%,11.1%,2.33,0.7%,0.5,117.00,0.329,67.1%,0.302,81.8%,0.10966666666666663,9.536980906381663
2062,1278316989,J. Sorenson,Jaxon Sorenson,Sorenson,Jaxon,1B,Liberty University,LIB,730156288,Liberty,BBC,L,R,0.361,40.34366666666666,8.3,56,1045,254,209,0.239,0.366,0.478,0.845,0.239,27.6%,15.0%,1.84,5.5%,0.84,14.93,0.283,65.4%,0.361,100.0%,0.1588333333333333,14.286178923296216
2063,1297676033,C. Hain,Carter Hain,Hain,Carter,1B,Oakland University,OAK,5386,Oakland,BBC,R,R,0.322,33.099333333333334,0.5,60,1032,262,230,0.239,0.33,0.4,0.73,0.161,26.3%,10.3%,2.56,1.9%,0.7,46.00,0.327,64.7%,0.322,75.0%,0.12633333333333333,11.209302082519633
2063,1310816256,T. Oster,T.J. Oster,Oster,T.J.,2B,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,0.302,22.92033333333333,-3.1,54,810,209,184,0.239,0.319,0.359,0.678,0.12,20.6%,9.6%,2.15,1.0%,0.59,92.00,0.3,67.1%,0.302,55.6%,0.10966666666666665,9.535208799346396
2065,1133096192,A. Choi,Albert Choi,Choi,Albert,LF,Purdue University,PUR,730353152,Purdue,BBC,R,R,0.323,25.43333333333333,0.5,50,702,200,159,0.239,0.376,0.314,0.69,0.075,16.5%,10.0%,1.65,0.5%,0.64,159.00,0.291,66.9%,0.323,80.0%,0.12716666666666665,11.268462387863144
2065,1911454103,S. Edwards,Savoi Edwards,Edwards,Savoi,LF,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,L,L,0.319,22.537666666666667,-0.2,49,673,182,159,0.239,0.318,0.409,0.727,0.17,24.7%,9.3%,2.65,2.7%,0.47,31.80,0.3,65.5%,0.319,70.0%,0.12383333333333334,10.908572277973034
2067,1099379456,B. Kettering,Brooks Kettering,Kettering,Brooks,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,0.333,36.1785,2.8,54,1064,267,201,0.239,0.402,0.303,0.706,0.065,14.6%,17.2%,0.85,0.0%,0.74,-,0.291,70.3%,0.333,55.6%,0.1355,12.067151526439922
2068,1176013056,Q. Ahearn,Qwynn Ahearn,Ahearn,Qwynn,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0.317,12.583166666666665,-0.3,29,400,103,88,0.239,0.324,0.398,0.721,0.159,25.2%,8.7%,2.89,2.9%,0.38,29.33,0.295,65.6%,0.317,-,0.12216666666666666,10.727200251940815
2069,1237036544,K. Blowers,Kevin Blowers,Blowers,Kevin,3B,Princeton University,PRIN,730198784,Princeton,BBC,R,R,0.258,8.613999999999997,-5.9,32,446,118,109,0.239,0.297,0.266,0.563,0.028,33.1%,6.8%,4.88,0.0%,0.31,-,0.371,60.0%,0.258,-,0.07299999999999998,6.018462387863144
2070,1258110720,H. Povey,Harrison Povey,Povey,Harrison,CF,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,L,R,0.351,40.33399999999999,6.7,59,1022,268,239,0.238,0.317,0.51,0.828,0.272,20.5%,6.0%,3.44,6.3%,0.61,14.06,0.238,76.2%,0.351,100.0%,0.15049999999999997,13.518462387863146
2071,1083279450,G. Nottleman,Grant Nottleman,Nottleman,Grant,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,0.327,21.924,0.9,52,766,168,130,0.238,0.4,0.277,0.677,0.038,19.6%,17.9%,1.1,0.6%,0.38,130.00,0.313,66.7%,0.327,60.0%,0.1305,11.55417667357743
2072,1233641139,F. Peralta,Fabio Peralta,Peralta,Fabio,CF,University of Miami,MIA,236,Miami,BBC,L,L,0.283,18.48516666666666,-5.9,57,716,197,172,0.238,0.316,0.302,0.618,0.064,20.3%,7.1%,2.86,1.0%,0.46,86.00,0.298,64.9%,0.283,100.0%,0.09383333333333331,8.023538529995124
2073,1153321216,G. Sawa,Grant Sawa,Sawa,Grant,C,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,0.303,13.812499999999996,-1.7,37,416,125,105,0.238,0.308,0.381,0.689,0.143,24.8%,8.0%,3.1,2.4%,0.49,35.00,0.306,68.1%,0.303,100.0%,0.11049999999999997,9.658462387863144
2073,1269593088,A. Cordeiro,Antonio Cordeiro,Cordeiro,Antonio,C,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,0.328,20.488,0.9,43,592,156,126,0.238,0.366,0.357,0.723,0.119,21.8%,13.5%,1.62,1.9%,0.47,42.00,0.3,70.0%,0.328,40.0%,0.13133333333333333,11.595385464786222
2073,1667966816,B. Thompson,Brock Thompson,Thompson,Brock,2B,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,0.367,30.472999999999995,7.0,49,775,186,147,0.238,0.379,0.463,0.842,0.224,26.9%,17.7%,1.52,4.3%,0.73,18.38,0.3,66.7%,0.367,92.3%,0.1638333333333333,14.781903248078198
2073,1792414126,A. Grabau,Anthony Grabau,Grabau,Anthony,SS,Fordham University,FOR,730324992,Fordham,BBC,L,R,0.354,22.949999999999996,4.1,46,513,150,126,0.238,0.353,0.46,0.814,0.222,16.0%,9.3%,1.71,4.7%,0.41,18.00,0.24,74.0%,0.354,75.0%,0.15299999999999997,13.751795721196475
2077,1176017664,C. Turner,Colby Turner,Turner,Colby,LF,University of Michigan,MICH,2290,Michigan,BBC,R,R,0.34,24.026666666666667,2.7,45,640,170,143,0.238,0.347,0.427,0.774,0.189,18.2%,10.6%,1.72,2.9%,0.6,28.60,0.266,70.6%,0.34,100.0%,0.14133333333333334,12.606697681980789
2078,1093160704,A. Hill,Aden Hill,Hill,Aden,RF,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,0.357,38.7195,7.5,55,970,249,202,0.238,0.372,0.431,0.803,0.193,22.9%,12.9%,1.78,4.0%,0.65,20.20,0.279,70.6%,0.357,91.7%,0.1555,14.030510580634225
2079,1325212928,B. Thompson,Bryce Thompson,Thompson,Bryce,RF,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,0.3,17.927999999999994,-2.7,46,546,166,139,0.237,0.358,0.273,0.631,0.036,20.5%,11.4%,1.79,0.6%,0.33,139.00,0.308,65.4%,0.3,-,0.10799999999999996,9.391956363766758
2080,1318693632,M. Leahy,Matt Leahy,Leahy,Matt,SS,Rider University,RID,730174976,Rider,BBC,R,R,0.295,24.089333333333325,-4.7,50,726,232,198,0.237,0.332,0.313,0.645,0.076,14.2%,9.9%,1.43,0.0%,0.74,-,0.281,67.7%,0.295,77.8%,0.1038333333333333,8.992600318897628
2081,1310584064,M. Serna,Mateo Serna,Serna,Mateo,C,University of Missouri,MIZZ,4806,Missouri,BBC,S,R,0.343,30.06116666666667,3.8,51,843,209,177,0.237,0.341,0.441,0.782,0.203,29.7%,8.1%,3.65,4.3%,0.51,19.67,0.306,68.5%,0.343,100.0%,0.14383333333333334,12.836644206044962
2082,1097455104,G. Anderson,Garner Anderson,Anderson,Garner,LF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,0.319,22.661499999999997,-0.2,41,666,183,156,0.237,0.333,0.385,0.718,0.147,24.0%,10.9%,2.2,1.6%,0.68,52.00,0.309,69.1%,0.319,83.3%,0.12383333333333331,10.909172770376806
2082,1085293312,R. Donohue,Ronan Donohue,Donohue,Ronan,3B,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,0.339,26.835500000000003,2.8,47,658,191,156,0.237,0.368,0.378,0.747,0.141,19.9%,11.5%,1.73,2.1%,0.74,39.00,0.287,65.2%,0.339,83.3%,0.1405,12.484430974250579
2084,1770714050,L. Wilson,Liam Wilson,Wilson,Liam,C,Harvard University,HARV,5450,Harvard,BBC,R,R,0.332,14.678666666666665,1.1,29,455,109,97,0.237,0.321,0.454,0.775,0.216,32.1%,9.2%,3.5,3.7%,0.45,24.25,0.328,67.2%,0.332,-,0.13466666666666666,12.027636699789749
2085,1238221312,M. Bernal,Max Bernal,Bernal,Max,1B,Pepperdine University,PEPP,730338304,Pepperdine,BBC,L,L,0.282,14.321999999999994,-4.7,43,517,154,135,0.237,0.318,0.296,0.614,0.059,11.0%,7.1%,1.55,0.6%,0.26,135.00,0.261,71.4%,0.282,-,0.09299999999999996,7.966514335915091
2085,1289775616,J. Tobias,Jacob Tobias,Tobias,Jacob,RF,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,R,0.333,21.273500000000002,1.7,46,644,157,135,0.237,0.344,0.415,0.759,0.178,22.9%,12.1%,1.89,2.5%,0.37,33.75,0.295,69.5%,0.333,100.0%,0.1355,12.101264935633845
2085,1342168872,A. Puder,Adam Puder,Puder,Adam,SS,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,0.281,14.838833333333335,-5.0,47,542,161,135,0.237,0.321,0.296,0.617,0.059,8.7%,8.7%,1.0,0.0%,0.53,-,0.258,72.6%,0.281,71.4%,0.09216666666666667,7.9128723257513425
2088,1184447745,H. Hunter,Henry Hunter,Hunter,Henry,C,University of Georgia,UGA,226,Georgia,BBC,L,R,0.373,35.45499999999999,8.9,53,853,210,173,0.237,0.371,0.48,0.851,0.243,27.1%,11.9%,2.28,5.2%,0.66,15.73,0.286,70.5%,0.373,50.0%,0.16883333333333328,15.256557625958383
2089,1195438080,D. Rutter,Drew Rutter,Rutter,Drew,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,0.279,13.756,-4.9,46,556,152,131,0.237,0.308,0.313,0.621,0.076,18.4%,8.6%,2.15,0.0%,0.41,-,0.298,69.2%,0.279,100.0%,0.0905,7.794778177336827
